Altium Designer Pick and Place Locations
D:\Work\项目\智能车\单车越野\驱动\PCB_Project\Project Outputs for PCB_Project\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       03/04/23
Time:       16:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"C65","100pF","TopLayer","C0603_NS","3284.452","1216.736","180"
"Q1","VS3508AE","TopLayer","PowerPAK1212-8","1480.315","1437.008","180"
"C62","10uF/25V","TopLayer","C0603_NS","456.696","291.342","180"
"C60","10uF","TopLayer","C0603_NS","456.696","507.877","180"
"C58","10uF/25V","TopLayer","C0603_NS","456.696","724.413","180"
"C47","10uF/25V","TopLayer","C0603_NS","456.696","940.948","180"
"C45","10uF/25V","TopLayer","C0603_NS","456.696","1157.484","180"
"C43","10uF/25V","TopLayer","C0603_NS","456.696","1374.019","180"
"Q4","AON7934","TopLayer","POWERPAIR_3X3","314.961","1157.480","90"
"Y1","8MHz","TopLayer","SMD-3225-4P","2696.535","535.433","180"
"U15","TJA1050","TopLayer","SOP8_N","3574.803","1354.331","90"
"U14","RS8552","TopLayer","TSSOP8_N","3255.906","716.535","0"
"U13","RS8552","TopLayer","TSSOP8_N","3255.906","956.693","0"
"U12","RS8552","TopLayer","TSSOP8_N","3354.449","1511.732","270"
"U11","DGD05473FN-7","TopLayer","W-DFN3030-10_DGD05473","314.961","94.503","270"
"U10","DGD05473FN-7","TopLayer","W-DFN3030-10_DGD05473","826.772","481.314","270"
"U9","DGD05473FN-7","TopLayer","W-DFN3030-10_DGD05473","826.772","696.865","270"
"U8","DGD05473FN-7","TopLayer","W-DFN3030-10_DGD05473","826.772","913.401","270"
"U7","DGD05473FN-7","TopLayer","W-DFN3030-10_DGD05473","826.772","1129.936","270"
"U6","DGD05473FN-7","TopLayer","W-DFN3030-10_DGD05473","826.772","1346.472","270"
"U5","CH32V307RCT6","TopLayer","LQFP64_N","2102.362","688.957","180"
"U4","TLV431A","TopLayer","SOT23-3N","2881.890","1417.323","270"
"U3","RT9193","TopLayer","SOT23-5N","2350.394","1263.780","270"
"U2","JW5026","TopLayer","SOT23-6N","2007.874","1263.780","90"
"U1","SY8105IADC","TopLayer","SOT23-6N","2326.772","1807.087","270"
"S2","TS-1101-C-R","TopLayer","TS-1101","3425.197","118.110","180"
"S1","TS-1101-C-R","TopLayer","TS-1101","3425.197","314.961","180"
"R107","100R","TopLayer","R0603_NS","2759.846","1728.343","90"
"R106","100R","TopLayer","R0603_NS","2834.642","318.901","270"
"R105","100R","TopLayer","R0603_NS","2787.398","318.901","270"
"R104","100R","TopLayer","R0603_NS","2598.422","318.901","270"
"R103","4.7K","TopLayer","R0603_NS","2929.131","318.901","270"
"R102","4.7K","TopLayer","R0603_NS","2692.910","318.901","270"
"R101","4.7K","TopLayer","R0603_NS","2645.666","318.901","270"
"R100","100R","TopLayer","R0603_NS","1555.115","318.901","270"
"R99","100R","TopLayer","R0603_NS","1507.871","318.901","270"
"R98","100R","TopLayer","R0603_NS","1318.895","318.901","270"
"R97","4.7K","TopLayer","R0603_NS","1649.603","318.901","270"
"R96","4.7K","TopLayer","R0603_NS","1413.383","318.901","270"
"R95","4.7K","TopLayer","R0603_NS","1366.139","318.901","270"
"R94","100R","TopLayer","R0603_NS","3649.606","1143.701","90"
"R93","100R","TopLayer","R0603_NS","3500.000","1143.701","90"
"R92","120R","TopLayer","R0603_NS","3574.806","1543.310","180"
"R91","100K/0.1%","TopLayer","R0603_NS","3450.909","746.532","90"
"R90","1K/0.1%","TopLayer","R0603_NS","3475.909","671.539","180"
"R89","1K/0.1%","TopLayer","R0603_NS","3625.909","671.539","180"
"R88","100K/0.1%","TopLayer","R0603_NS","3075.909","746.532","90"
"R87","1K/0.1%","TopLayer","R0603_NS","3050.902","671.532","0"
"R86","1K/0.1%","TopLayer","R0603_NS","2900.902","671.532","0"
"R85","100R","TopLayer","R0603_NS","3525.902","771.532","0"
"R84","100R","TopLayer","R0603_NS","3000.909","771.539","180"
"R83","100K/0.1%","TopLayer","R0603_NS","3345.909","621.539","180"
"R82","1K/0.1%","TopLayer","R0603_NS","3475.909","621.539","180"
"R81","1K/0.1%","TopLayer","R0603_NS","3625.909","621.539","180"
"R80","100K/0.1%","TopLayer","R0603_NS","3240.902","621.532","0"
"R79","1K/0.1%","TopLayer","R0603_NS","3050.902","621.532","0"
"R78","1K/0.1%","TopLayer","R0603_NS","2900.902","621.532","0"
"R77","100K/0.1%","TopLayer","R0603_NS","3450.909","986.690","90"
"R76","1K/0.1%","TopLayer","R0603_NS","3475.909","911.696","180"
"R75","1K/0.1%","TopLayer","R0603_NS","3625.909","911.696","180"
"R74","100K/0.1%","TopLayer","R0603_NS","3075.909","986.690","90"
"R73","1K/0.1%","TopLayer","R0603_NS","3050.902","911.690","0"
"R72","1K/0.1%","TopLayer","R0603_NS","2900.902","911.690","0"
"R71","100R","TopLayer","R0603_NS","3525.902","1011.690","0"
"R70","100R","TopLayer","R0603_NS","3000.909","1011.696","180"
"R69","100K/0.1%","TopLayer","R0603_NS","3345.909","861.696","180"
"R68","1K/0.1%","TopLayer","R0603_NS","3475.909","861.696","180"
"R67","1K/0.1%","TopLayer","R0603_NS","3625.909","861.696","180"
"R66","100K/0.1%","TopLayer","R0603_NS","3240.902","861.690","0"
"R65","1K/0.1%","TopLayer","R0603_NS","3050.902","861.690","0"
"R64","1K/0.1%","TopLayer","R0603_NS","2900.902","861.690","0"
"R63","100K/0.1%","TopLayer","R0603_NS","3384.446","1316.729","0"
"R62","1K/0.1%","TopLayer","R0603_NS","3309.452","1291.729","90"
"R61","1K/0.1%","TopLayer","R0603_NS","3309.452","1141.729","90"
"R60","100K/1%","TopLayer","R0603_NS","3384.446","1691.729","0"
"R59","1K/1%","TopLayer","R0603_NS","3309.446","1716.736","270"
"R58","1K/1%","TopLayer","R0603_NS","3309.446","1866.736","270"
"R57","100R","TopLayer","R0603_NS","3409.446","1241.736","270"
"R56","100R","TopLayer","R0603_NS","3409.452","1766.729","90"
"R55","100K/0.1%","TopLayer","R0603_NS","3259.452","1421.729","90"
"R54","1K/0.1%","TopLayer","R0603_NS","3259.452","1291.729","90"
"R53","1K/0.1%","TopLayer","R0603_NS","3259.452","1141.729","90"
"R52","100K/1%","TopLayer","R0603_NS","3259.446","1526.736","270"
"R51","1K/1%","TopLayer","R0603_NS","3259.446","1716.736","270"
"R50","1K/1%","TopLayer","R0603_NS","3259.446","1866.736","270"
"R49","100R","TopLayer","R0603_NS","984.255","279.531","180"
"R48","5mΩ/1%","TopLayer","R1206_NS","130.905","307.087","0"
"R47","5mΩ/1%","TopLayer","R1206_NS","130.905","523.622","0"
"R46","5mΩ/1%","TopLayer","R1206_NS","130.905","740.158","0"
"R45","4R7","TopLayer","R0603_NS","314.964","188.980","180"
"R44","4R7","TopLayer","R0603_NS","171.260","460.630","0"
"R43","4R7","TopLayer","R0603_NS","171.260","677.165","0"
"R39","100R","TopLayer","R0603_NS","984.255","366.145","180"
"R42","4R7","TopLayer","R0603_NS","433.071","218.504","90"
"R41","4R7","TopLayer","R0603_NS","456.696","460.633","180"
"R40","4R7","TopLayer","R0603_NS","456.698","677.167","180"
"R38","100R","TopLayer","R0603_NS","984.255","322.838","180"
"R37","100R","TopLayer","R0603_NS","984.255","503.940","180"
"R36","100R","TopLayer","R0603_NS","984.255","460.633","180"
"R35","100R","TopLayer","R0603_NS","984.255","720.476","180"
"R34","100R","TopLayer","R0603_NS","984.255","677.169","180"
"R33","100R","TopLayer","R0603_NS","984.255","1283.468","180"
"R32","5mΩ/1%","TopLayer","R1206_NS","130.905","956.693","0"
"R31","5mΩ/1%","TopLayer","R1206_NS","130.905","1173.228","0"
"R30","5mΩ/1%","TopLayer","R1206_NS","130.905","1389.764","0"
"R29","4R7","TopLayer","R0603_NS","171.260","893.701","0"
"R28","4R7","TopLayer","R0603_NS","171.260","1110.236","0"
"R27","4R7","TopLayer","R0603_NS","171.260","1326.772","0"
"R23","100R","TopLayer","R0603_NS","984.255","937.011","180"
"R22","100R","TopLayer","R0603_NS","984.255","893.704","180"
"R26","4R7","TopLayer","R0603_NS","456.698","893.702","180"
"R25","4R7","TopLayer","R0603_NS","456.698","1110.238","180"
"R24","4R7","TopLayer","R0603_NS","456.696","1326.775","180"
"R21","100R","TopLayer","R0603_NS","984.255","1153.546","180"
"R20","100R","TopLayer","R0603_NS","984.255","1110.239","180"
"R19","100R","TopLayer","R0603_NS","984.255","1370.082","180"
"R18","100R","TopLayer","R0603_NS","984.255","1326.775","180"
"R17","1K","TopLayer","R0603_NS","2763.776","1216.532","0"
"R16","1K","TopLayer","R0603_NS","2763.776","1263.776","0"
"R15","1K","TopLayer","R0603_NS","3157.483","118.113","180"
"R14","10K","TopLayer","R0603_NS","3366.138","433.068","0"
"R13","10K","TopLayer","R0603_NS","2145.673","342.523","180"
"R12","1M","TopLayer","R0603_NS","2531.178","535.436","270"
"R11","12.4K/1%","TopLayer","R0603_NS","2984.255","1413.383","90"
"R6","1K","TopLayer","R0603_NS","1433.074","1062.989","90"
"R10","4.12K/1%","TopLayer","R0603_NS","2881.887","1519.682","0"
"R9","100R","TopLayer","R0603_NS","2740.154","1413.389","270"
"R8","2K/1%","TopLayer","R0603_NS","2133.855","1263.776","0"
"R7","10.5K/1%","TopLayer","R0603_NS","2133.855","1216.532","0"
"R5","100K","TopLayer","R0603_NS","2133.855","1311.020","0"
"R4","11K/1%","TopLayer","R0603_NS","2389.761","1913.383","0"
"R3","100K/1%","TopLayer","R0603_NS","2456.690","1834.642","0"
"R2","100K","TopLayer","R0603_NS","2287.405","1913.389","180"
"R1","10K","TopLayer","R0603_NS","1645.666","1370.075","0"
"Q8","AON7934","TopLayer","POWERPAIR_3X3","314.961","291.338","90"
"Q7","AON7934","TopLayer","POWERPAIR_3X3","314.961","507.874","90"
"Q6","AON7934","TopLayer","POWERPAIR_3X3","314.961","724.409","90"
"Q5","AON7934","TopLayer","POWERPAIR_3X3","314.961","940.945","90"
"Q3","AON7934","TopLayer","POWERPAIR_3X3","314.961","1374.016","90"
"Q2","VS3508AE","TopLayer","PowerPAK1212-8","1645.669","1507.874","270"
"P6","HDR-1X3","TopLayer","HDR2.54-WI-3P","2660.000","1845.000","180"
"P5","GH1.25-6P","TopLayer","A1257WR-S-6P","2834.646","133.858","0"
"P4","GH1.25-6P","TopLayer","A1257WR-S-6P","1555.118","133.858","0"
"P3","GH1.25-2P","TopLayer","A1257WR-S-2P","3574.803","1834.645","180"
"P2","GH1.25-4P","TopLayer","A1257WR-S-4P","2015.748","133.858","0"
"P1","HDR-1X3","TopLayer","HDR2.54-WI-3P","3043.307","1845.000","180"
"L2","MSD7342-223","TopLayer","MSD7342","1685.039","1181.102","90"
"L1","4.7uH","TopLayer","L-SMD-0630","2491.142","1519.685","0"
"K1","SS-12D10L5","TopLayer","SS-12D10","1122.047","1685.039","90"
"FB1","600Ω,500mA","TopLayer","FB0603_NS","2480.312","1216.532","0"
"F1","10A/32V","TopLayer","FU_1206","1350.394","1464.567","270"
"D6","PESD1CAN","TopLayer","SOT23-3N","3574.803","1645.669","270"
"D5","LED","TopLayer","LED0603_NS","2653.540","1216.532","0"
"D4","LED","TopLayer","LED0603_NS","2653.540","1263.776","0"
"D3","LED","TopLayer","LED0603_NS","1362.201","1062.995","270"
"D2","B5819W","TopLayer","SOD-123","1397.638","1291.339","180"
"D1","SMBJ18CA","TopLayer","SMB","1496.063","1673.228","0"
"C88","1nF","TopLayer","C0603_NS","2881.893","318.894","90"
"C87","1nF","TopLayer","C0603_NS","2740.161","318.894","90"
"C86","1nF","TopLayer","C0603_NS","2551.184","318.894","90"
"C85","0.1uF","TopLayer","C0603_NS","2976.375","318.901","270"
"C84","0.1uF","TopLayer","C0603_NS","3023.619","318.901","270"
"C83","1nF","TopLayer","C0603_NS","1602.365","318.894","90"
"C82","1nF","TopLayer","C0603_NS","1460.633","318.894","90"
"C81","1nF","TopLayer","C0603_NS","1271.657","318.894","90"
"C80","0.1uF","TopLayer","C0603_NS","1696.847","318.901","270"
"C79","0.1uF","TopLayer","C0603_NS","1744.091","318.901","270"
"C78","0.1uF","TopLayer","C0603_NS","3574.806","1169.294","180"
"C77","1nF","TopLayer","C0603_NS","3625.909","771.539","180"
